,categories,title,company_names,percentages,funding_amounts,days_left,n_supporters,likes,descriptions,durations,target_amounts
229,스포츠·모빌리티,[앵콜펀딩] CLAX 카트 - 환경을 생각하고 똑똑한 소비로 가는 지름길,주식회사 성진엘비,855%,"8,550,000원",33일 남음,31,86,[앵콜펀딩]Think green take it smart! 환경을 생각하고 똑똑한 소비로 가는 지름길 클랙스 카트! 서포터님의 성원에 힘입어 앵콜 펀딩으로 다시 돌아왔습니다!~,2021.04.23-2021.05.31,"1,000,000원"
230,테크·가전,"[10년 개발 거치대] 패드마운트 하나면, 침대 테블릿 거치대 고민 끝!",씨알존,780%,"7,808,000원",5일 남음,63,129,"누워서 편하게 보자 !!
침대에서 핸드폰,태블릿보기 힘드시죠?
팔,다리,허리도 아프고 특히 눈이 피곤합니다.
이제, 침대에서 패드마운트로 몸도 편하게, 눈도 편하게!",2021.04.18-2021.05.03,"1,000,000원"
231,푸드,[갈비는 구워야 제맛? NO!] 진국보감 얼큰 칼칼 전주식 갈비전골,2H 푸드폴(2H FOOD FOR),780%,"3,902,400원",16일 남음,57,34,갈비는 구워야 제맛이라는 편견을 제대로 타파할 끓여먹는 갈비를 소개합니다. 고소하고 쫄깃한 생 갈비를 야무지게 뜯고! 마무리로 얼큰칼칼한 국물에 밥 말아 드시면 여기가 천국입니다.,2021.04.22-2021.05.14,"500,000원"
232,홈리빙,완벽한 와식생활 필템 | [만능베개]로 편하게 눕생활하세요!,주식회사 라쏨 /프로젝트슬립,715%,"3,576,000원",5일 남음,70,100,"집에서 보내는 시간이 많아진 요즘, 어떤 자세로 휴식하시나요? 다리베개, 가슴베개, 머리베개, 등받이베개 어떤 용도로든 사용 가능한 '만능 아이템' 만능베개를 만나보세요!",2021.04.09-2021.05.03,"500,000원"
233,테크·가전,[3369%앵콜]음악과 속도에 심장이 뛰는 당신에게 클립쉬X맥라렌 콜라보,주식회사 씨제이에스(Klipsch),708%,"7,084,000원",12일 남음,32,28,"3369% 달성으로 다시 돌아온 70년 이상의 음향기술 역사와 극강의 편안함, 강력한 방진방수 기능을 입은 [클립쉬 X 맥라렌 콜라보 에디션]",2021.04.26-2021.05.10,"1,000,000원"
234,교육·키즈,[퇴사X 코인X] 아이디어스&네이버에서 취미로 돈 버는 기술,그레이웨일/두번째월급,698%,"20,963,000원",14일 남음,413,703,"취미, 손재주 있으신가요? 그렇다면, 아이디어스에서 취미로 수익화 해보세요! 취미가 없으신가요? 없으시면 저희와 함께 찾아가시면 됩니다. 하루 10분만 투자하세요!",2021.04.14-2021.05.12,"3,000,000원"
235,홈리빙,무얼 담아도 기분이 좋아질 거예요ㅣ8컬러 실리콘 접시 '팔레트',하울스홈,646%,"6,466,500원",오늘 자정 마감,159,192,"실용성 간편성 갑! 만능 실리콘 접시 '팔레트'를 소개해 드려요! 안전한 KCC 실리콘만을 사용한 Made in Korea, 고기먹고 회먹고 좋아하는 사람 모여라~",2021.04.07-2021.04.28,"1,000,000원"
236,패션·잡화,"[앵앵콜]부담없이 누리자! 6만원대소가죽,착화감좋은 세븐홀 화이트스니커즈",주식회사 헌드레드메이커,605%,"3,028,500원",5일 남음,47,52,"소가죽 슈즈전문, 마이애미프로젝트(MIAMI PROJECT)입니다. 6번째 프로젝트로, 또한 2차 앵콜로 찾아뵙는 프로젝트입니다. 가성비의 끝! 펀딩시작가 5만원으로 찾아뵙습니다.",2021.04.19-2021.05.03,"500,000원"
237,푸드,"<먹태가 돌아왔다! 시즌2> 참나무 훈연 먹태, 멈출 수 없는 그 유혹!",(주)태양에프앤씨,584%,"5,843,000원",12일 남음,149,73,"""지금까지 이런 먹태는 없었다! 이것은 과자인가 먹태인가? 참나무 훈연과 300도 직화로 구워 불향 가득한 고소함과 바삭함이 살아있는 ""태양이 구운 훈연 먹태 구이!""",2021.04.15-2021.05.10,"1,000,000원"
238,여행·레저,폴딩박스 우드상판과 미니테이블의 만남,레드스톤,449%,"2,248,200원",14일 남음,26,30,"캠핑용품의 기본, 폴딩박스&우드상판
폴딩박스와 함께 할때만 기능을 할 수 있었던 기존의 상판을
분리해도 활용할 수 있는 미니 테이블로 만들었습니다.",2021.04.27-2021.05.12,"500,000원"
239,반려동물,1만원 대로 반려동물 드라이 스트레스 끝! 슈펫 펫 스타일러,마커스랩 주식회사,249%,"2,480,200원",6일 남음,122,55,"1만원대의 고기능 아웃도어 원단으로 만든 슈펫 펫 스타일러!
이제 반려동물 드라이 스트레스 끝~",2021.04.20-2021.05.04,"995,000원"
240,스포츠·모빌리티,지금껏 경험하지 못한 압박력! 감당할 수 있는가? 넥스핏 엑슈트 컴프레션,넥스핏,125%,"2,503,500원",26일 남음,40,28,이름만 컴프레션 웨어가 아닌 진정한 압박력을 원하는 모든 스포츠인들을 위해 태어났습니다!!,2021.04.26-2021.05.24,"2,000,000원"
241,뷰티,"기분좋은 하루의 시작!!  ""데일리 스마일 크림""과 함께!!",이즈디앤서,25%,"1,256,400원",19일 남음,54,23,바쁜 일상으로 지친 우리의 피부에 행복 에너지를 뿜뿜~ 데일리 스마일 크림과 함께 행복루틴을 만들어 보세요^^,2021.04.26-2021.05.17,"5,000,000원"
242,홈리빙,[7475%앵콜]유럽사람들이 푹 빠진 특허출원 3버튼 프리미엄 텀블러 ,태남디비아이 주식회사,2664%,"13,322,000원",5일 남음,259,267,작은 차이 하나로 여러분의 삶의 질을 높여드릴게요. 트렌디한 디자인에 기능까지 모두 갖춘 야무진 캄부카가 다양한 컬러와 사이즈로 다시 돌아왔습니다,2021.04.15-2021.05.03,"500,000원"
243,패션·잡화,[LOOPER] 아무거나 메지 않는 당신을 우리는 잘 아니까,주식회사 루퍼,2017%,"20,171,500원",5일 남음,105,213,"비지니스에 필요한 물건을 이상적으로 담을 수 있는 수납공간, 명품수준의 높은 퀄리티, 당신이 손꼽아 기다린 가방. LOOPER<NICK>BACKPACK SLIM 입니다.",2021.04.05-2021.05.03,"1,000,000원"
244,푸드,[자숙문어] 캠핑요리 중 으뜸! 선장님이 직접잡은 고성 피문어 맛보세요!,(주)위고온,1652%,"8,261,550원",12일 남음,101,52,"[영상 꼭 확인하세요!] 캠핑가서 자숙 피문어 한번 드셔보세요! 
강원도 최북단 청청지역 고성에서 바로 잡은 피문어를 
전문가의 손길로 먹기좋게 삶아서 보내드립니다.",2021.04.21-2021.05.10,"500,000원"
245,테크·가전,[글로벌 15억] 무선충전과 수납을 동시에? 내손안의 데스크 '네스트',주식회사 문앤썬컴퍼니,1539%,"15,392,000원",19일 남음,167,123,"수납공간 커스터마이징 파우치(무선 충전기 내장) '네스트'입니다.
집, 회사, 카페, 독서실 등. 모든 곳이 업무, 공부 공간인 요즘.
네스트를 열면 나만의 책상이 펼쳐집니다.",2021.04.21-2021.05.17,"1,000,000원"
246,테크·가전,1대로 4대 효과! 사각없는 720도 홈카메라 [라운드아이],(주)에이치디텔레콤,1529%,"15,295,000원",19일 남음,127,109,"2개의 어안렌즈로 상하360, 좌우360로 전체 720도가 촬영되는 홈카메라입니다. 사각없는 영상과 빠른 스크롤로 빠짐없이 영상을 확인하세요!",2021.04.24-2021.05.17,"1,000,000원"
