,categories,title,company_names,percentages,funding_amounts,days_left,n_supporters,likes,descriptions,durations,target_amounts
519,소셜·캠페인,내 책상 위에 소녀상을 세워 주세요.,김영우,62%,"1,250,000원",,49,26,"소녀상 뉴스를 보고, 내가 할 수 있는 일은 없을까 생각하던 중에 소녀상을 알리기 위한 소녀상 미니블럭 프로젝트를 기획하게 되었습니다.",2017.03.07-2017.03.31,"2,000,000원"
520,소셜·캠페인,[PAIN KILLER] 고통 대신 희망을,라이트 장현서 (양현주),62%,"500,000원",,16,14,"죽음보다 더한 통증, 그리고 오해, 지원 부족과 같은 어려움을 동시에 느끼고 계신 복합부위통증증후군 환우분들을 돕기 위한 노력에 동참해 주세요.",2017.09.07-2017.09.30,"800,000원"
521,소셜·캠페인,"백범김구 동상설립, 독립유공자 후손 돕기",유정호,61%,"15,270,000원",,438,3,"백범 김구 선생 동상 설립,역사 의식 고취와 독립유공자 유족의 대한 국민으로써 해야할 의무입니다.",2015.09.14-2015.10.22,"25,000,000원"
522,소셜·캠페인,일본군 [위안부 피해자 할머니]를 위한 버킷리스트 프로젝트 ,꽃소녀 (백종길),61%,"618,000원",,36,54,일본군'위안부'피해자 할머니들이 하고 싶었던 것들을 이루어 드리는 버킷리스트 프로젝트를 진행하려 합니다.,2018.08.27-2018.09.30,"1,000,000원"
523,소셜·캠페인,[FRUITY UP 에어팟케이스]저소득 어린이 과일 후원 프로젝트 ,이효진 (이효진),61%,"307,700원",,40,19,저소득층 아이들을 위한 ‘과일기부 프로젝트’ 를 기획했습니다.  취준생 6명이 모여 저희의 긍정적인 기운을 전달하고 싶습니다.,2020.12.03-2020.12.31,"500,000원"
524,소셜·캠페인,"[#간호사취존생활] 듀티표에 맞춰살기 바쁜 간호사, 이거 어때?",간호사연구소,60%,"605,000원",,18,25,"간호사를 하면서 행복할 수 있을까요?듀티표만 쫓아가기 바쁜 ""간호사""를 하면서 행복하긴 어려울 수 있지만, 간취존생활을 통해 D,E,N 퇴근 이후 ""나""자신은 행복할 수 있습니다.",2020.07.28-2020.08.31,"1,000,000원"
525,소셜·캠페인,"유기동물의 행복찾기, '자-하다' 프로젝트",언더독(Underdog),59%,"887,400원",,100,19,언더독은 유기동물의 행복찾기 프로젝트 일환으로 '자-하다'[도움이 되다]라는 모금활동을 기획하였습니다.,2015.09.23-2015.11.01,"1,500,000원"
526,소셜·캠페인,[상상지]가출청소년에게 따뜻한 사랑의 한끼를 선물하는 '컴백홈 푸드트럭',토닥토닥 (이지욱),59%,"888,500원",,52,10,푸드트럭을 통하여 가출청소년들에게 따뜻한 사랑과 먹거리를 제공하는 프로젝트입니다. 아이들에게 회복과 가능성을 선물해 주세요!,2016.08.10-2016.09.10,"1,500,000원"
527,소셜·캠페인,"""사지말고 입양하세요"" 유기동물 후원을 위한 포켓노트",조주현 (조주현),59%,"328,500원",,44,18,유기동물 보호를 위한 작은 한걸음에 동참 해 주세요 순수익금 전액 기부됩니다,2021.03.08-2021.04.02,"550,000원"
528,소셜·캠페인,[굿네이버스] 당신의 평범한 삶이 특별한 일상으로 선물됩니다.,굿네이버스 기부스토어,58%,"1,756,000원",,81,13,당신의 평범한 일상이 누군가에겐 기적같은 일상을 만들어 줄 수 있다면??,2015.12.01-2015.12.31,"3,000,000원"
529,소셜·캠페인,봉천동 핫플레이스 소금센터,sogm,56%,"1,130,000원",,84,16,"넘나 더워서 핫플레이스ㅠ  기독교 문화공간 소금센터를 더 시원하게, 더 포근하게 만들어주세요오 :-)",2016.07.29-2016.08.25,"2,000,000원"
530,소셜·캠페인,지역아동청소년의 꿈을 키우기 위한 문화예술 워크샵,(주)여가상자,55%,"550,000원",,41,4,어린 시절의 문화적 경험은,2015.12.31-2016.02.19,"1,000,000원"
531,소셜·캠페인,"보육원 아이들의 새학기를 응원하며, 리디자인 문구세트",도담도담,55%,"605,000원",,42,14,보육원 아이들의 온전한 마음과 순수한 이야기가 들어있는 그림들로 우리의 손과 눈에 자주 닿는 팬시용품에 따뜻한 가치를 담고자 합니다.,2021.03.22-2021.04.07,"1,100,000원"
532,소셜·캠페인,"농어촌,개척,미자립교회 홈페이지 무료 보급사업을 지원해 주세요.",더씨앤아이파트너스,54%,"273,300원",,26,2,"아직도 우리 주변에는 홈페이지가 없는 교회가 많습니다. 하지만, 복음 전파의 열정만큼은 누구보다 뜨거우신 목사님들이 오늘도 열심히 기도하시며 성도님들과 함께하고 계십니다. 우리는 이 모든 교회에 홈페이지를 만들어 드리고 싶습니다.",2015.11.26-2015.12.20,"500,000원"
